Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst,-1,"The position is full-time and would be based at the company’s Chennai office. The successful applicant would have 1 - 2 years' relevant experience and be responsible for collection, validation & analysis of Mutual fund data.
Key Areas of Responsibility
Collection, validation, analysis of mutual fund information.
Updating the mutual fund information into our databases in a timely manner.
Perform quality checks.
Communicate with UK and Offshore asset management companies via email/telephone.
Provide clarifications to clients’ queries based on priority and urgency levels.",4.5,"FE Fundinfo
4.5",Chennai,"Size
501 to 1000 Employees","Founded
1996","Type
Company - Private","Industry
Financial Analytics & Research","Sector
Finance","Revenue
Unknown / Non-Applicable"
Data Scientist 1,-1,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: The Global Financial Crimes & Customer Protection (GFCCP) organization is responsible for detecting and preventing financial crimes and providing protections and remediation paths to PayPal’s customers. This includes supporting Holistic Risk Management (HRM), which requires data-driven insights to drive both regional and global program strategies and regulatory requirements.",4.3,"PayPal
4.3",Chennai,"Size
10000+ Employees","Founded
1998","Type
Company - Public","Industry
Internet","Sector
Information Technology","Revenue
$10+ billion (USD)"
Data Scientist,-1,"Role: Data Scientist The world never stands still. And new challenges arise every day. With a passion for questioning things, for supplying ideas, and intelligently driving things forward we are helping society move towards a more intelligent future. Be it with technologies that reduce carbon emissions in cities or hyperintelligent robots. This is how we are able, to tackle the most important projects and push them forward together. Help us shape the future.
With our innovative and integrated technology we support our customers in continuously improving the reliability, safety, and efficiency of products, processes and plants.
Can you help us shape the future? We’re looking for dedicated people with the skills and vision to build a better tomorrow. Join our Digital Process Industries team as Data Scientist help us create the technology that will transform entire industries, cities and even countries.
Change the future with us!",4.1,"Siemens Technology and Services Private Limited
4.1",Gurgaon,"Size
10000+ Employees","Founded
1843","Type
Company - Public","Industry
Electrical & Electronic Manufacturing","Sector
Manufacturing","Revenue
$10+ billion (USD)"
Data Scientist,-1,"Springer Nature opens the doors to discovery for researchers, educators, clinicians and other professionals. Every day, around the globe, our imprints, books, journals, platforms and technology solutions reach millions of people. For over 175 years our brands and imprints have been a trusted source of knowledge to these communities and today, more than ever, we see it as our responsibility to ensure that fundamental knowledge can be found, verified, understood and used by our communities – enabling them to improve outcomes, make progress, and benefit the generations that follow.

Visit: group.springernature.com and follow @SpringerNature

.sfpanel .content {padding: 0 40px !important;}

Springer Nature is seeking a Data Scientist for its highly-regarded Data and Analytics Solutions group. The group meets the needs of Springer Nature’s Research division which includes Nature, Springer, BioMedCentral and Scientific American, as well as developing new data products for the research community. This is an exciting opportunity as Data Science is expanding from strong foundations into new solutions, and we are looking for someone who is able to deliver solutions and work independently, with support from the wider team where necessary.

As a Data Scientist, you will be training machine learning models and analysing big data of different kinds from a variety of sources. You will support the business via actionable insights as well as impactful machine learning models, contributing to our purpose to advance discovery with some of the most interesting datasets available, combined with state of the art machine learning.

You will be working in close partnership with data analysts, data scientists and data engineers, as well as other colleagues from Springer Nature and our technology partners including Google. You will have opportunities to work with the latest data and analytics technologies including graph databases, Google BigQuery, Tensorflow and Plotly Dash as well as previewing new technologies from Google and other partners.


Build machine learning models and conduct data analysis that support Springer Nature and its customers to advance discovery

Implement cutting edge analytics and data science solutions in partnership with the wider team

Consult with stakeholders throughout the business to shape and implement solutions in support of business objectives


University degree with a strong analytical/quantitative background or equivalent experience (e.g. Data Science, Statistics, Mathematics, Econometrics, Physics, Computer Science etc.)

Strong working knowledge of SQL and Python

Excellent analytical problem solving capabilities

Ability to visualise and tell stories from data

Demonstrable experience with statistics, coding, and machine learning

Familiarity with Google products (Google Cloud, BigQuery, Dataform, Colab, Tensorflow) or other cloud data platforms beneficial but not essential

Well organized and accurate with good time management

At Springer Nature we value the diversity of our teams. We recognize the many benefits of a diverse workforce with equitable opportunities for everyone. We strive for an inclusive workplace that empowers all our colleagues to thrive. Our search for the best talent fully encompasses and embraces these values and principles.

Visit the Springer Nature Editorial and Publishing website at www.springernature.com/editorial-and-publishing-jobs for more information about our Research E&P career opportunities.",3.6,"Springer Nature
3.6",Pune,"Size
10000+ Employees","Founded
2015","Type
Company - Private","Industry
Publishing","Sector
Media","Revenue
Unknown / Non-Applicable"
Data Scientist,-1,"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: As a Data Scientist, you will apply your strategic and analytical skills to solve challenging business problems. You will team up with world-class professionals to identify actionable insights that ultimately impact the bottom line of the company. We work in a space that looks deeply into emerging fraud trends to come up with analytical solutions to fight these fraud trends and we also work on business enablement opportunities that fuel growth and drive efficiencies within the organization. You will be able do it all in a collaborative environment that values your insight, encourages you to take on new responsibility, promotes continuous learning, and rewards innovation with a global team that is multi-disciplinary with broad spectrum of industry experiences, deep analytical and quantitative expertise.",4.3,"PayPal
4.3",Chennai,"Size
10000+ Employees","Founded
1998","Type
Company - Public","Industry
Internet","Sector
Information Technology","Revenue
$10+ billion (USD)"
Data Scientist,-1,"Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams",4.4,"OM Software Pvt Ltd
4.4",Pune,"Size
51 to 200 Employees","Founded
2008","Type
Company - Private","Industry
IT Service","Sector
Information Technology","Revenue
$5 to $10 million (USD)"
Data Scientist,-1,"Do you want to be on the leading edge of using big data and help drive engineering and product decisions for the biggest productivity software in the planet? Office Experience Organization (OXO) has embarked on a mission to delight our customers by using data informed engineering to develop compelling products and services. The FUEL team in OXO is looking for an experienced professional with a passion for delivering business value with data insights and analytics to join our team as a Program Manager.

We're the ones obsessing over enterprise customers, making sure their experiences with our products are top notch. Our core mission is keeping customers “healthy” – this involves not only driving performance and coordinating tenant-centric health efforts across OXO, but also ensuring our customers are on the latest, fastest, most productive, and best versions of the incredible apps that make up Office. To fulfill this mission, we are looking for an individual who joins us to drive and deliver core Performance improvements constantly, across the suite, leading to delightful experiences for all users.",4.4,"Microsoft
4.4",Hyderābād,"Size
10000+ Employees","Founded
1975","Type
Company - Public","Industry
Computer Hardware & Software","Sector
Information Technology","Revenue
$10+ billion (USD)"
Data Scientist,-1,"Job Expectations
The Data Scientist job expectations typically ( 80%-90% of the work ) include performing descriptive statistical analysis, data visualization and support troubleshooting service offerings in semiconductor manufacturing using proprietary analytical platforms, commercial tools and custom scripts. The candidate will be responsible for cleansing and analyzing data to improve yield and device performance of advanced logic/memory integrated circuits.
It also includes ( 20%-10% of the work ) applying advanced mathematical, statistical and programming skills for solving customer high-value problems through research and development.
People within this role should be willing to learn and adopt semiconductor industry as their career domain. They should crossover and learn different subject areas such as Electronics, Physics, Chemistry, Mechanical Engg, Statistics, Mathematics and Computer Science and see the big picture, while also being good data storytellers.",4.3,"Applied Materials Inc.
4.0",Bangalore,"Size
10000+ Employees","Founded
1967","Type
Company - Public","Industry
Electrical & Electronic Manufacturing","Sector
Manufacturing","Revenue
$10+ billion (USD)"
Data Scientist,-1,"Our Purpose and Challenges
With over 47% market-share, MakeMyTrip is India’s first and biggest travel company. In fact, one in every four passengers at an airport is our customer. Driven by the desire to provide an exceptional travel experience for our customers, we have continuously stayed ahead of the curve by developing technology and products to meet the ever-changing demands of the rapidly evolving travel ecosystem.

We are currently solving multiple challenging problems, including -
How to bring the next 100 million users to our platform?
How to leverage customer insights to create a truly personalised experience for users?
How to create a delightful experience for our users, to make travel synonymous to MMT?",4.3,"MakeMyTrip
4.3",Bangalore,"Size
1001 to 5000 Employees","Founded
2000","Type
Company - Public","Industry
Internet","Sector
Information Technology","Revenue
$100 to $500 million (USD)"
Data Scientist,-1,"Data Scientist
As an Cervello Analytics CoE Data Engineer, you will work on a broad range of consulting projects applying sophisticated modeling, such as data mining, predictive modeling and optimization, to real-life business problems.
Responsibilities
As Data Scientist, your specific responsibilities include the following:
Collaborate with other data engineers, subject matter experts and client consulting teams from Cervello locations around the globe to deliver strategic advanced analytics solutions
Analyze, manipulate, cleanse and validate data from a variety of data sources and platforms",3.9,"Cervello Inc
3.9",Bangalore,"Size
51 to 200 Employees","Founded
2009","Type
Company - Private","Industry
IT Service","Sector
Information Technology","Revenue
$10 to $25 million (USD)"
